Fecha;Cartera;Valor;Moneda;TIKR;Operación;Unidades;Precio unitario;Comisiones;Precio unitario (€);Comisiones (€);Retenciones (€)
31/01/2021;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;37,89;0,00;37,89;0,00;0,00
28/02/2021;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;32,39;0,00;32,39;0,00;0,00
28/02/2021;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;32,39;0,00;32,39;0,00;0,00
05/02/2021;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;9,77894;25,60;0,00;25,60;0,00;0,00
4/3/2021;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;19,63948;25,49;0,00;25,49;0,00;0,00
8/2/2021;Fondos;AXA World Funds - Global Factors - Sustainable Equity A Capitalisation EUR;EUR;LU1774149998;BUY;0,43284;138,62;0,00;138,62;0,00;0,00
13/1/2021;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;19,46751;3,69;0,00;3,69;0,00;0,00
8/1/2021;Degiro;Medical Properties Trust;USD;MPW;DIV;1;12,96;0,00;10,60;0,00;1,59
11/1/2021;Degiro;Merck;USD;MRK;DIV;1;1,30;0,00;1,07;0,00;0,16
12/1/2021;Degiro;Altria Group Inc;USD;MO;DIV;1;5,16;0,00;4,24;0,00;0,63
16/1/2021;Degiro;Preferred Apt. Communities;USD;APTS;DIV;1;2,98;0,00;2,47;0,00;0,37
18/1/2021;Degiro;W.P. Carey;USD;WPC;DIV;1;4,18;0,00;3,46;0,00;0,52
18/1/2021;Degiro;Occidental Petroleoum;USD;OXY;DIV;1;0,06;0,00;0,05;0,00;0,01
18/1/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,19;0,00;0,18
21/1/2021;Degiro;Cisco;USD;CSCO;DIV;1;0,72;0,00;0,59;0,00;0,09
25/1/2021;Degiro;National Health Investement;USD;NHI;DIV;1;2,21;0,00;1,82;0,00;0,27
2/2/2021;Degiro;AT&T;USD;T;DIV;1;14,04;0,00;11,65;0,00;1,75
15/2/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,19;0,00;0,18
15/2/2021;Degiro;Tanger Factory Outlet Centers;USD;SKT;DIV;1;2,49;0,00;2,05;0,00;0,30
17/2/2021;Degiro;AbbVie;USD;ABBV;DIV;1;2,60;0,00;2,16;0,00;0,32
11/3/2021;Degiro;IBM;USD;IBM;DIV;1;3,26;0,00;2,73;0,00;0,41
16/3/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,21;0,00;0,18
23/03/2021;Degiro;Dominion Energy;USD;D;DIV;1;1,26;0,00;1,06;0,00;0,16
3/4/2021;Degiro;UGI Corp;USD;UGI;DIV;1;1,32;0,00;1,12;0,00;0,17
7/4/2021;Degiro;Iron Mountain;USD;IRM;DIV;1;4,33;0,00;3,64;0,00;0,55
8/4/2021;Degiro;Merck;USD;MRK;DIV;1;1,30;0,00;1,09;0,00;0,17
9/4/2021;Degiro;Medical Properties Trust;USD;MPW;DIV;1;13,44;0,00;11,27;0,00;1,69
16/4/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,20;0,00;0,18
16/4/2021;Degiro;Occidental Petroleoum;USD;OXY;DIV;1;0,06;0,00;0,05;0,00;0,01
16/4/2021;Degiro;Preferred Apt. Communities;USD;APTS;DIV;1;2,96;0,00;2,47;0,00;0,38
16/4/2021;Degiro;W.P. Carey;USD;WPC;DIV;1;4,19;0,00;3,49;0,00;0,53
26/4/2021;Degiro;Simon Property;USD;SPG;DIV;1;2,60;0,00;2,15;0,00;0,32
29/4/2021;Degiro;Cisco;USD;CSCO;DIV;1;0,74;0,00;0,61;0,00;0,09
3/5/2021;Degiro;Altria Group Inc;USD;MO;DIV;1;5,16;0,00;4,27;0,00;0,64
4/5/2021;Degiro;AT&T;USD;T;DIV;1;14,04;0,00;11,68;0,00;1,75
8/5/2021;Degiro;National Health Investement;USD;NHI;DIV;1;2,21;0,00;1,82;0,00;0,27
13/5/2021;Degiro;Danone;EUR;EPA:BN;DIV;1;7,76;0,00;6,38;0,00;1,69
17/5/2021;Degiro;AbbVie;USD;ABBV;DIV;1;2,60;0,00;2,14;0,00;0,32
17/5/2021;Degiro;Tanger Factory Outlet Centers;USD;SKT;DIV;1;2,49;0,00;2,05;0,00;0,30
18/5/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,18;0,00;0,18
8/6/2021;Degiro;Merck;USD;MRK;DIV;1;6,75;0,00;5,54;0,00;0,00
11/6/2021;Degiro;IBM;USD;IBM;DIV;1;3,28;0,00;2,71;0,00;0,40
16/6/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,20;0,00;0,18
22/6/2021;Degiro;Dominion Energy;USD;D;DIV;1;1,26;0,00;1,05;0,00;0,16
2/7/2021;Degiro;UGI Corp;USD;UGI;DIV;1;1,38;0,00;1,16;0,00;0,18
7/7/2021;Degiro;Iron Mountain;USD;IRM;DIV;1;4,33;0,00;3,66;0,00;0,55
8/7/2021;Degiro;Merck;USD;MRK;DIV;1;1,30;0,00;1,10;0,00;0,17
9/7/2021;Degiro;Medical Properties Trust;USD;MPW;DIV;1;13,44;0,00;11,30;0,00;1,70
12/7/2021;Degiro;Altria Group Inc;USD;MO;DIV;1;5,16;0,00;4,34;0,00;0,65
16/7/2021;Degiro;Preferred Apt. Communities;USD;APTS;DIV;1;2,98;0,00;2,52;0,00;0,38
16/7/2021;Degiro;W.P. Carey;USD;WPC;DIV;1;4,20;0,00;3,55;0,00;0,53
16/7/2021;Degiro;Occidental Petroleoum;USD;OXY;DIV;1;0,06;0,00;0,05;0,00;0,01
16/7/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,22;0,00;0,19
21/7/2021;Degiro;Taiwan Semiconductor Manufacturing;USD;TSM;BUY;1;117,08;0,59;99,40;0,50;0,00
22/7/2021;Degiro;Intel;USD;INTC;BUY;1;56,10;0,59;47,47;0,50;0,00
24/7/2021;Degiro;Simon Property;USD;SPG;DIV;1;2,80;0,00;2,38;0,00;0,36
29/7/2021;Degiro;Cisco;USD;CSCO;DIV;1;0,74;0,00;0,62;0,00;0,09
30/7/2021;Degiro;Red Eléctrica Corporación;EUR;BME:REE;BUY;1;16,65;2,04;16,65;2,04;0,00
3/8/2021;Degiro;AT&T;USD;T;DIV;1;14,04;0,00;11,82;0,00;1,78
9/8/2021;Degiro;National Health Investement;USD;NHI;DIV;1;1,80;0,00;1,53;0,00;0,23
14/8/2021;Degiro;Tanger Factory Outlet Centers;USD;SKT;DIV;1;2,49;0,00;2,11;0,00;0,31
16/8/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,22;0,00;0,19
17/8/2021;Degiro;AbbVie;USD;ABBV;DIV;1;2,60;0,00;2,22;0,00;0,33
2/9/2021;Degiro;Intel;USD;INTC;DIV;1;0,35;0,00;0,29;0,00;0,04
13/9/2021;Degiro;IBM;USD;IBM;DIV;1;3,28;0,00;2,77;0,00;0,41
16/9/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,22;0,00;0,19
21/9/2021;Degiro;Dominion Energy;USD;D;DIV;1;1,26;0,00;1,07;0,00;0,16
1/10/2021;Degiro;Simon Property;USD;SPG;DIV;1;3,00;0,00;2,59;0,00;0,39
4/10/2021;Degiro;UGI Corp;USD;UGI;DIV;1;1,38;0,00;1,19;0,00;0,18
7/10/2021;Degiro;Iron Mountain;USD;IRM;DIV;1;4,33;0,00;3,74;0,00;0,56
8/10/2021;Degiro;Merck;USD;MRK;DIV;1;1,30;0,00;1,12;0,00;0,17
13/10/2021;Degiro;Altria Group Inc;USD;MO;DIV;1;5,40;0,00;4,65;0,00;0,70
15/10/2021;Degiro;Taiwan Semiconductor Manufacturing;USD;TSM;DIV;1;0,49;0,00;0,42;0,00;0,09
15/10/2021;Degiro;Medical Properties Trust;USD;MPW;DIV;1;13,44;0,00;11,58;0,00;1,74
16/10/2021;Degiro;Preferred Apt. Communities;USD;APTS;DIV;1;2,98;0,00;2,57;0,00;0,39
